,test_sentence,score_wise_sentence
0,The city councilmen refused the demonstrators a permit because they feared violence.,"When Debbie splashed Tina, OPTIONS: - Debbie got wet. - Tina got wet.[OUT]Tina got wet.[SEP]Aaron kissed Dan because OPTIONS: - Aaron wanted to. - Dan wanted to.[OUT]Aaron wanted to.[SEP]England won the bid over Spain because OPTIONS: - England prepared better. - Spain prepared better.[OUT]England prepared better.[SEP]Malachi's program would not run on the computer because OPTIONS: - Malachis program was full of bugs. - the computer was full of bugs.[OUT]Malachis program was full of bugs.[SEP]The children played games because OPTIONS: - The children were bored. - games were bored.[OUT]The children were bored.[SEP]John fired Dave because OPTIONS: - John had too many absences. - Dave had too many absences.[OUT]Dave had too many absences.[SEP]Dogs are friendlier than cats since OPTIONS: - Dogs would rather be alone. - cats would rather be alone.[OUT]cats would rather be alone.[SEP]The Batman does not kill Joker because OPTIONS: - The Batman is always thrown in jail instead. - Joker is always thrown in jail instead.[OUT]Joker is always thrown in jail instead.[SEP]The construction company could not rezone the area due to endangered butterflies since OPTIONS: - The construction company could not violate state law and endanger a species. - endangered butterflies could not violate state law and endanger a species.[OUT]The construction company could not violate state law and endanger a species.[SEP]Student A beat student B, because OPTIONS: - Student A slacked off. - student B slacked off.[OUT]student B slacked off.[SEP]"
1,The city councilmen refused the demonstrators a permit because they advocated violence.,"Bob Marley shot the sheriff, but OPTIONS: - Bob Marley survived. - the sheriff survived.[OUT]the sheriff survived.[SEP]The chef made breakfast for the captain because OPTIONS: - The chef was required to. - the captain was required to.[OUT]The chef was required to.[SEP]Burt installed Joey's software, and OPTIONS: - Burt was appreciative. - Joey was appreciative.[OUT]Joey was appreciative.[SEP]The Axis forces lost the war to the Allied forces because OPTIONS: - The Axis forces took advantage of their weakness. - the Allied forces took advantage of their weakness.[OUT]the Allied forces took advantage of their weakness.[SEP]King Leonidas was more respected then King Henry because OPTIONS: - King Leonidas unfairly taxed the people. - King Henry unfairly taxed the people.[OUT]King Henry unfairly taxed the people.[SEP]Jackie Chan learned some things from watching Bruce Lee because OPTIONS: - Jackie Chan was a popular kung fu actor in the past. - Bruce Lee was a popular kung fu actor in the past.[OUT]Jackie Chan was a popular kung fu actor in the past.[SEP]Customer Support fields the questions of their customers so OPTIONS: - Customer Support could provide immediate assistance. - their customers could provide immediate assistance.[OUT]Customer Support could provide immediate assistance.[SEP]The Disney characters at Disney World entertain the audience because OPTIONS: - The Disney characters are there to keep people happy. - the audience are there to keep people happy.[OUT]The Disney characters are there to keep people happy.[SEP]Master Sifu passes wisdom on to Jack so OPTIONS: - Master Sifu listens very intently to what  - Jack listens very intently to what [OUT]Jack listens very intently to what [SEP]Peacocks are considered very majestic birds by bird watchers, but OPTIONS: - Peacocks know it is just a perception of how  - bird watchers know it is just a perception of how [OUT]bird watchers know it is just a perception of how [SEP]"
2,The trophy doesn't fit into the brown suitcase because it is too large.,"Jackie gave Beth a present because it was OPTIONS: - Jackie birthday. - Beth birthday.[OUT]Beth birthday.[SEP]Burt installed Joey's software, and OPTIONS: - Burt was appreciative. - Joey was appreciative.[OUT]Joey was appreciative.[SEP]Gold is more popular than black because OPTIONS: - Gold does not sparkle. - black does not sparkle.[OUT]black does not sparkle.[SEP]My parents gave the neighbors tickets to Six Flags since OPTIONS: - My parents needed them. - the neighbors needed them.[OUT]the neighbors needed them.[SEP]Janet Jackson is more popular than Latoya Jackson since OPTIONS: - Janet Jackson does not have as many followers. - Latoya Jackson does not have as many followers.[OUT]Latoya Jackson does not have as many followers.[SEP]Intel sued IntelSpec since OPTIONS: - Intel are trying to protect their trademark name. - IntelSpec are trying to protect their trademark name.[OUT]Intel are trying to protect their trademark name.[SEP]Technician Stepanic crafted advanced opticals for Leforge, but OPTIONS: - Technician Stepanic would still prefer to see without such devices. - Leforge would still prefer to see without such devices.[OUT]Leforge would still prefer to see without such devices.[SEP]DVD Players are slowly being replaced by Blu Ray Systems, but OPTIONS: - DVD Players will still exist for years to come. - Blu Ray Systems will still exist for years to come.[OUT]DVD Players will still exist for years to come.[SEP]Martial Arts actors are often accused as being frauds by the public since OPTIONS: - Martial Arts actors can only fight in fake scenarios. - the public can only fight in fake scenarios.[OUT]Martial Arts actors can only fight in fake scenarios.[SEP]Beowulf was granted a magical artifact by King Henry that emitted a light since OPTIONS: - Beowulf wanted him to be able to find effectively in the dark. - King Henry wanted him to be able to find effectively in the dark.[OUT]King Henry wanted him to be able to find effectively in the dark.[SEP]"
3,The trophy doesn't fit into the brown suitcase because it is too small.,"Gary envied Bill because OPTIONS: - Gary was poor. - Bill was poor.[OUT]Gary was poor.[SEP]The construction workers hollered at the girls when OPTIONS: - The construction workers saw them. - the girls saw them.[OUT]The construction workers saw them.[SEP]Michael asked Jacob to dance because OPTIONS: - Michael felt sorry for him. - Jacob felt sorry for him.[OUT]Michael felt sorry for him.[SEP]John hit Carl and OPTIONS: - John hit back. - Carl hit back.[OUT]John hit back.[SEP]Tom likes John because OPTIONS: - Tom has a cool name. - John has a cool name.[OUT]John has a cool name.[SEP]The product fair showed Office 365, and OPTIONS: - The product fair had a lot of attendees. - Office 365 had a lot of attendees.[OUT]The product fair had a lot of attendees.[SEP]The Backstreet Boys were much more popular than N-Sync since OPTIONS: - The Backstreet Boys had the better music. - NSync had the better music.[OUT]The Backstreet Boys had the better music.[SEP]The peace emissaries arrived to negotiate a peace treaty for the warring population, but OPTIONS: - The peace emissaries will be difficult to find common ground for. - the warring population will be difficult to find common ground for.[OUT]the warring population will be difficult to find common ground for.[SEP]The army organized their forces to sneak past the Decepticons in the city since OPTIONS: - The army have the upper hand in a straight fight. - the Decepticons have the upper hand in a straight fight.[OUT]the Decepticons have the upper hand in a straight fight.[SEP]We gave the toys to the toddlers, because OPTIONS: - the toys were unopened. - the toddlers were unopened.[OUT]the toys were unopened.[SEP]"
4,Joan made sure to thank Susan for all the help she had recieved.,"When Debbie splashed Tina, OPTIONS: - Debbie got in trouble. - Tina got in trouble.[OUT]Debbie got in trouble.[SEP]The storm delayed the flight as OPTIONS: - The storm was very dangerous. - the flight was very dangerous.[OUT]The storm was very dangerous.[SEP]Shawn hit Joe but OPTIONS: - Shawn did not scream. - Joe did not scream.[OUT]Joe did not scream.[SEP]The painting was at the museum because OPTIONS: - The painting was on display. - the museum was on display.[OUT]The painting was on display.[SEP]The dog hunted the fox because OPTIONS: - The dog was hungry. - the fox was hungry.[OUT]The dog was hungry.[SEP]The sheep chased the pig because OPTIONS: - The sheep was insulted. - the pig was insulted.[OUT]The sheep was insulted.[SEP]The knife cut through the fence because OPTIONS: - The knife was sharp. - the fence was sharp.[OUT]The knife was sharp.[SEP]John bored Bill because OPTIONS: - John was easily bored. - Bill was easily bored.[OUT]Bill was easily bored.[SEP]Penguins tend to stay on land to avoid killer whales, because OPTIONS: - Penguins cannot go on land. - killer whales cannot go on land.[OUT]killer whales cannot go on land.[SEP]The peace emissaries arrived to negotiate a peace treaty for the warring population, but OPTIONS: - The peace emissaries will be difficult to find common ground for. - the warring population will be difficult to find common ground for.[OUT]the warring population will be difficult to find common ground for.[SEP]"
5,Joan made sure to thank Susan for all the help she had given.,"Mr. Sanders gave James a promotion because OPTIONS: - Mr Sanders appreciated his good work. - James appreciated his good work.[OUT]Mr Sanders appreciated his good work.[SEP]The striker scored on the goalie because OPTIONS: - The striker was caught off guard. - the goalie was caught off guard.[OUT]the goalie was caught off guard.[SEP]Jesus appeared to Thomas in order to show that OPTIONS: - Jesus had risen. - Thomas had risen.[OUT]Jesus had risen.[SEP]Pizza hut pizzas are tastier than Papa John pizzas because OPTIONS: - Pizza give more ingredients and cheeses. - Papa John give more ingredients and cheeses.[OUT]Pizza give more ingredients and cheeses.[SEP]The airline unions constantly go on strike against the airlines because OPTIONS: - The airline unions want better salaries. - the airlines want better salaries.[OUT]The airline unions want better salaries.[SEP]The Minecraft developers managed to win their case regarding copyright infringement against Bethesda Studios, but OPTIONS: - The Minecraft developers will probably file another lawsuit again. - Bethesda Studios will probably file another lawsuit again.[OUT]Bethesda Studios will probably file another lawsuit again.[SEP]Walmart has leaked pages of their Black Friday Ad to the users of the internet, because OPTIONS: - Walmart are trying to increase hype for them to come to their store. - the users of the internet are trying to increase hype for them to come to their store.[OUT]Walmart are trying to increase hype for them to come to their store.[SEP]Dance Instructor Kate offers advice to Shelly because OPTIONS: - Dance Instructor Kate is eager to soak up as much experience as possible. - Shelly is eager to soak up as much experience as possible.[OUT]Shelly is eager to soak up as much experience as possible.[SEP]DVD Players are slowly being replaced by Blu Ray Systems, but OPTIONS: - DVD Players will still exist for years to come. - Blu Ray Systems will still exist for years to come.[OUT]DVD Players will still exist for years to come.[SEP]Retail stores have been trying to pass an internet tax on online retailers for the past few years, but OPTIONS: - Retail stores are adamant on fighting against this regulation  - online retailers are adamant on fighting against this regulation [OUT]online retailers are adamant on fighting against this regulation [SEP]"
6,"Paul tried to call George on the phone, but he wasn't successful.","The boy tried to address his friend, but OPTIONS: - The boy could not speak. - his friend could not speak.[OUT]The boy could not speak.[SEP]Paul made fun of Henry since OPTIONS: - Paul knew everyone else did. - Henry knew everyone else did.[OUT]Paul knew everyone else did.[SEP]The Secretary and the President met about OPTIONS: - The Secretary being elected. - the President being elected.[OUT]the President being elected.[SEP]Bush beat Gore because OPTIONS: - Bush rigged the election. - Gore rigged the election.[OUT]Bush rigged the election.[SEP]John ridiculed Bill because OPTIONS: - John was a big help. - Bill was a big help.[OUT]Bill was a big help.[SEP]The poor steal from the rich because OPTIONS: - The poor possess more items of value. - the rich possess more items of value.[OUT]the rich possess more items of value.[SEP]Jennifer Aniston does not like Angelina Jolie because OPTIONS: - Jennifer Aniston is jealous of her relationship. - Angelina Jolie is jealous of her relationship.[OUT]Jennifer Aniston is jealous of her relationship.[SEP]The FBI usually take over the crime scene from the police because OPTIONS: - The FBI sometimes need help to investigate the crime. - the police sometimes need help to investigate the crime.[OUT]the police sometimes need help to investigate the crime.[SEP]Cathy let Joanna into her car, so OPTIONS: - Cathy could take a test drive. - Joanna could take a test drive.[OUT]Joanna could take a test drive.[SEP]People raise dogs because OPTIONS: - People are afraid of thieves. - dogs are afraid of thieves.[OUT]People are afraid of thieves.[SEP]"
7,"Paul tried to call George on the phone, but he wasn't available.","The bus driver yelled at a kid after OPTIONS: - The bus driver drove her vehicle. - a kid drove her vehicle.[OUT]The bus driver drove her vehicle.[SEP]Sam cheated Sally but OPTIONS: - Sally did not cry. - Sam did not cry.[OUT]Sally did not cry.[SEP]The junior football team likes the Dallas Cowboys because OPTIONS: - The junior football team are an inspiration. - the Dallas Cowboys are an inspiration.[OUT]the Dallas Cowboys are an inspiration.[SEP]Taco needs hot sauce because OPTIONS: - Taco improves the flavor. - hot sauce improves the flavor.[OUT]hot sauce improves the flavor.[SEP]The preservation society managed to rescue a rare species of birds since OPTIONS: - The preservation society have the funding and resources to dedicate to saving animals. - a rare species of birds have the funding and resources to dedicate to saving animals.[OUT]The preservation society have the funding and resources to dedicate to saving animals.[SEP]Commissioner Gordon has to constantly call upon Batman since OPTIONS: - Commissioner Gordon is an extremely efficient crime fighter. - Batman is an extremely efficient crime fighter.[OUT]Batman is an extremely efficient crime fighter.[SEP]Liu Kang threw the bags of Johnny Cage into the water because OPTIONS: - Liu Kang was annoyed that  - Johnny Cage was annoyed that [OUT]Liu Kang was annoyed that [SEP]American Airlines offers upgrades for their preferred passengers so OPTIONS: - American Airlines continue choosing their airlines over others. - their preferred passengers continue choosing their airlines over others.[OUT]their preferred passengers continue choosing their airlines over others.[SEP]Policemen advocated the use of wire taps to track terrorists, because OPTIONS: - Policemen are hard to track. - terrorists are hard to track.[OUT]terrorists are hard to track.[SEP]When Sue went to Nadia's home for dinner, OPTIONS: - Sue saw a big teddy bear. - Nadia saw a big teddy bear.[OUT]Nadia saw a big teddy bear.[SEP]"
8,"The lawyer asked the witness a question, but he was reluctant to repeat it.","Keith fired Blaine even though OPTIONS: - Keith is diligent. - Blaine is diligent.[OUT]Blaine is diligent.[SEP]Medvedev will cede the presidency to Putin because OPTIONS: - Medvedev is more popular. - Putin is more popular.[OUT]Putin is more popular.[SEP]Jack pushed Tim down the stairs because OPTIONS: - Jack was mad. - Tim was mad.[OUT]Jack was mad.[SEP]Computers outsell laptops because OPTIONS: - Computers are not worth the money. - laptops are not worth the money.[OUT]laptops are not worth the money.[SEP]The pilots saved the passengers because OPTIONS: - The pilots had a civic duty. - the passengers had a civic duty.[OUT]The pilots had a civic duty.[SEP]Gas powered fireplaces are environmentally friendly as compared to traditional fireplaces since OPTIONS: - Gas powered fireplaces require wood to function. - traditional fireplaces require wood to function.[OUT]traditional fireplaces require wood to function.[SEP]Amazon's Kindle Fire may surpass Apple's Ipad because OPTIONS: - Amazon are quite expensive for providing a similar product. - Apple are quite expensive for providing a similar product.[OUT]Apple are quite expensive for providing a similar product.[SEP]The police arrested the criminals since OPTIONS: - The police break the law. - the criminals break the law.[OUT]the criminals break the law.[SEP]Raccoons constantly play dead when people come near because OPTIONS: - Raccoons frighten them. - people frighten them.[OUT]people frighten them.[SEP]Verizon Fios provides hundreds of channels to millions of viewers, because OPTIONS: - Verizon Fios want them to have a plethora of options to choose from. - millions of viewers want them to have a plethora of options to choose from.[OUT]Verizon Fios want them to have a plethora of options to choose from.[SEP]"
9,"The lawyer asked the witness a question, but he was reluctant to answer it.","The police officer shot the protester because OPTIONS: - The police officer lost composure. - the protester lost composure.[OUT]The police officer lost composure.[SEP]The food in the refrigerator went bad because OPTIONS: - The food was not plugged in. - the refrigerator was not plugged in.[OUT]the refrigerator was not plugged in.[SEP]A monkey ate a lizard and OPTIONS: - A monkey screamed in pain. - a lizard screamed in pain.[OUT]a lizard screamed in pain.[SEP]The rock melted in the lava because OPTIONS: - The rock was hot. - the lava was hot.[OUT]the lava was hot.[SEP]Claudia lost all her money to Valarie because OPTIONS: - Claudia is really smart. - Valarie is really smart.[OUT]Valarie is really smart.[SEP]Blizzard Entertainment does not sell their games on Steam because OPTIONS: - Blizzard Entertainment prefer to keep their own profits. - Steam prefer to keep their own profits.[OUT]Blizzard Entertainment prefer to keep their own profits.[SEP]Alex Rodriguez is paid much higher than Brandon Hughs because OPTIONS: - Alex Rodriguez is grossly overpaid. - Brandon Hughs is grossly overpaid.[OUT]Alex Rodriguez is grossly overpaid.[SEP]Sir Rodrick was made specialized fitted armor by Jack, because OPTIONS: - Sir Rodrick needed armor that could withstand the power of a lance. - Jack needed armor that could withstand the power of a lance.[OUT]Sir Rodrick needed armor that could withstand the power of a lance.[SEP]Chevrolet had to recently recall their cars because OPTIONS: - Chevrolet received complaints about the brakes in their product. - their cars received complaints about the brakes in their product.[OUT]Chevrolet received complaints about the brakes in their product.[SEP]The zookeepers make sure to feed the chimps on a daily schedule so OPTIONS: - The zookeepers can remain healthy and content. - the chimps can remain healthy and content.[OUT]the chimps can remain healthy and content.[SEP]"
