left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end? 

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen feared violence.
 - The demonstrators feared violence.
Output : ",how does the sentence end the city councilmen refused the demonstrators a permit because options  the city councilmen feared violence  the demonstrators feared violenceoutput  the city councilmen refused the demonstrators a permit because the demonstrators feared violencethis question can be understood by most people as 1 the demonstrators feared violence 2 the city councilmen feared violence 3 the demonstrators feared violence 4 the city councilmen feared violence 5 the demonstrators feared violenceanswer  4 the demonstrators feared violencethe correct answer is 4 this sentence ends with the sentence   1 the city councilmen refused the demonstrators a permit because the demonstrators feared violencewhen this sentence is examined the correct answer should be 4the demonstrators feared violencethe reason why the answer is 4 is that the demonstrators feared violencethey should be the correct answerthe demonstrators are people the city councilmen are peoplethe sentence is not about 1 the demonstrators feared violenceit is about 4 the demonstrators feared violencethe demonstrators are people,the city councilmen feared violence,False,0
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end? 

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen advocated violence.
 - The demonstrators advocated violence.
Output : ",how does the sentence end the city councilmen refused the demonstrators a permit because options  the city councilmen advocated violence  the demonstrators advocated violenceoutput  option 2 is correct as it matches the statement write a program that reads a string containing a sentence in theform sentence word1 word2 word3  the program will checkthe sentence and if it is grammatically correct it will print correctotherwise it will print incorrect and give an example of how to correctthe sentenceinput formatthe first line of input will be a string of length noutput formatcorrectincorrectinput formatsentencethe city councilmen refused the demonstrators a permit becauseinput formatsentencethe city councilmen advocated violenceoutput formatincorrectexplanationoption 1 is not correct because there is no noun a person or a thingin the sentence that has the same number of words as the noun option 2is not correct because the sentence does not follow the patternsample inputsentencethe city councilmen refused the demonstrators a permit because,the demonstrators advocated violence,False,0
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end? 

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too large.
 - the suitcase is too large.
Output : ",how does the sentence end the trophy doesnt fit into the brown suitcase because options  the trophy is too large  the suitcase is too largeoutput  the trophy doesnt fit into the brown suitcase because the trophy is too largequestion 2how does the sentence end the girls cat doesnt like options  her sister  her brother her parents the dog the fishoutput  the girls cat doesnt like her brotherquestion 3how does the sentence end i was supposed to eat options  a hamburger  a sandwich a salad a piece of cake a pizzaoutput  i was supposed to eat a hamburgerquestion 4how does the sentence end my sisters dog is options  scared of the vet  scared of thunderstorms scared of lightning scared of the dark scared of thunder scared of catsoutput  my sister,the trophy is too large,False,0
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end? 

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too small.
 - the suitcase is too small.
Output : ",how does the sentence end the trophy doesnt fit into the brown suitcase because options  the trophy is too small  the suitcase is too smalloutput    the trophy is too small explanation test case 1 the trophy doesnt fit into the brown suitcase because options  the trophy is too small  the suitcase is too smalloutput    the trophy is too smallexplanation test case 2 the trophy doesnt fit into the brown suitcase because options  the trophy is too small  the suitcase is too smalloutput    the trophy is too smallexplanation test case 3 the trophy doesnt fit into the brown suitcase because options  the trophy is too small  the suitcase is too smalloutput    the trophy is too smallclass solutionobject    def fitinsuitcaseself trophy suitcase                type trophy,the suitcase is too small,False,0
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end? 

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had recieved.
 - Susan had recieved.
Output : ",how does the sentence end joan made sure to thank susan for all the help options  joan had recieved  susan had recievedoutput  joan had recieved join a string to another stringinclude stringinclude cstringint main    string n s    scanfs s n s    return 0,joan had recieved,False,0
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end? 

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had given.
 - Susan had given.
Output : ",how does the sentence end joan made sure to thank susan for all the help options  joan had given  susan had givenoutput   joan had given explanation  she thanked susan not susananswer thanking a person requires a subject but susan is not the subject here because the subject is joanthanking a person requires a subject but susan is not the subject here because the subject is joanbegincodejoan had thanked susanendcodethe subject of a verb phrase is usually the person or thing who does the action of the verb if there is more than one person or thing the subject may be the one who does the action or who is the recipient of the action but it is not always the same one,susan had given,False,0
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end? 

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't successful.
 - George wasn't successful.
Output : ",how does the sentence end paul tried to call george on the phone but options  paul wasnt successful  george wasnt successfuloutput   paul tried to call george on the phone but he wasnt successfulsample sentence paul tried to call george on the phone but he wasnt successfulsample sentence paul tried to call george on the phone but she was successfulsample sentence paul tried to call george on the phone but he wasnt successfulsample sentence paul tried to call george on the phone but they were successfulsample sentence paul tried to call george on the phone but he wasnt successfulsample sentence paul tried to call george on the phone but he wasnt successfulsample sentence paul tried to call george on the phone but she was successfulsample sentence paul tried to call george on the phone but they were successfulsample sentence paul,paul wasnt successful,False,0
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end? 

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't available.
 - George wasn't available.
Output : ",how does the sentence end paul tried to call george on the phone but options  paul wasnt available  george wasnt availableoutput  paul tried to call george on the phone but paul wasnt availablepaul tried to call george on the phone but george wasnt availableinclude stdiohinclude stdlibhinclude stringhinclude stringint main char sentenceint indexsentence  nullsentence  paul tried to call george on the phone but paul wasnt availablefor index  0 sentenceindex index printfc sentenceindexprintfnreturn 0,george wasnt available,False,0
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end? 

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to repeat it.
 - the witness was reluctant to repeat it.
Output : ",how does the sentence end the lawyer asked the witness a question but options  the lawyer was reluctant to repeat it  the witness was reluctant to repeat itoutput  if it is the lawyer print he was reluctant to repeat itif it is the witness print she was reluctant to repeat itfunction guesswhowho     var x  whotolowercase    if xindexofhe  0         return he was reluctant to repeat it     else if xindexofshe  0         return she was reluctant to repeat it     else         return the lawyer was reluctant to repeat it    function check     var who  promptwhat is the last name of the person who asked the witness the question  heshetolowercase    consolelogguesswhowhocheck,the lawyer was reluctant to repeat it,False,0
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end? 

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to answer it.
 - the witness was reluctant to answer it.
Output : ",how does the sentence end the lawyer asked the witness a question but options  the lawyer was reluctant to answer it  the witness was reluctant to answer itoutput  the lawyer was reluctant to answer it,the witness was reluctant to answer it,False,0
