,left,pron,right,candidates,selected,predicted,correct_sent,correct,number of shots,shot,input_prompt
0,The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,the city councilmen feared violence,the city councilmen feared violence,True,1,1,
1,The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,the demonstrators advocated violence,the demonstrators advocated violence,True,1,1,
2,The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,the trophy is too large,the trophy is too large,True,1,1,
3,The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,the suitcase is too small,the suitcase is too small,True,1,1,
4,Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,susan had received,joan had recieved,False,1,1,
5,Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,susan had given,susan had given,True,1,1,
6,"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,paul wasnt successful,paul wasnt successful,True,1,1,
7,"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,george wasnt available,george wasnt available,True,1,1,
8,"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,the lawyer was reluctant to repeat it,the lawyer was reluctant to repeat it,True,1,1,
9,"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,the witness was reluctant to answer it,the witness was reluctant to answer it,True,1,1,
10,The delivery truck zoomed by the school bus because,it,was going so fast.,"the delivery truck,the school bus",0,the delivery truck was going so fast,the delivery truck was going so fast,True,1,1,
11,The delivery truck zoomed by the school bus because,it,was going so slow.,"the delivery truck,the school bus",1,the delivery truck was going so slow,the school bus was going so slow,False,1,1,
12,Frank felt vindicated when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",0,frank was the winner of the competition,frank was the winner of the competition,True,1,1,
13,Frank felt crushed when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",1,bill was the winner of the competition,bill was the winner of the competition,True,1,1,
14,The man couldn't lift his son because,he,was so weak.,"The man,The son",0,the man was so weak,the man was so weak,True,1,1,
15,The man couldn't lift his son because,he,was so heavy.,"The man,The son",1,the son was so heavy,the son was so heavy,True,1,1,
16,The large ball crashed right through the table because,it,was made of steel.,"The large ball,The table",0,the large ball was made of steel,the large ball was made of steel,True,1,1,
17,The large ball crashed right through the table because,it,was made of styrofoam.,"The large ball,The table",1,the large ball was made of styrofoam,the table was made of styrofoam,False,1,1,
18,John couldn't see the stage with Billy in front of him because,he,is so short.,"John,Billy",0,billy is so short,john is so short,False,1,1,
19,John couldn't see the stage with Billy in front of him because,he,is so tall.,"John,Billy",1,billy is so tall,billy is so tall,True,1,1,
20,Tom threw his schoolbag down to Ray after,he,reached the top of the stairs.,"Tom,Ray",0,tom reached the top of the stairs,tom reached the top of the stairs,True,1,1,
21,Tom threw his schoolbag down to Ray after,he,reached the bottom of the stairs.,"Tom,Ray",1,tom reached the bottom of the stairs,ray reached the bottom of the stairs,False,1,1,
