,left,pron,right,candidates,selected,input_sentence,predicted_label,true_label,correct
0,The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen feared violence.
 - The demonstrators feared violence.
Output: ",The demonstrators feared violence.,the city councilmen feared violence.,False
1,The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen advocated violence.
 - The demonstrators advocated violence.
Output: ",The demonstrators advocated violence.,the demonstrators advocated violence.,True
2,The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too large.
 - the suitcase is too large.
Output: ",the trophy is too large.,the trophy is too large.,True
3,The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too small.
 - the suitcase is too small.
Output: ",the suitcase is too small.,the suitcase is too small.,True
4,Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had recieved.
 - Susan had recieved.
Output: ",Joan had recieved.,joan had recieved.,True
5,Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had given.
 - Susan had given.
Output: ",Susan had given.,susan had given.,True
6,"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't successful.
 - George wasn't successful.
Output: ",Paul wasn't successful.,paul wasn't successful.,True
7,"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't available.
 - George wasn't available.
Output: ",George wasn't available.,george wasn't available.,True
8,"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to repeat it.
 - the witness was reluctant to repeat it.
Output: ",the witness was reluctant to repeat it.,the lawyer was reluctant to repeat it.,False
9,"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to answer it.
 - the witness was reluctant to answer it.
Output: ",the witness was reluctant to answer it.,the witness was reluctant to answer it.,True
10,The delivery truck zoomed by the school bus because,it,was going so fast.,"the delivery truck,the school bus",0,"How does the sentence end?

The delivery truck zoomed by the school bus because

 OPTIONS: 
- the delivery truck was going so fast.
 - the school bus was going so fast.
Output: ",the delivery truck was going so fast.,the delivery truck was going so fast.,True
11,The delivery truck zoomed by the school bus because,it,was going so slow.,"the delivery truck,the school bus",1,"How does the sentence end?

The delivery truck zoomed by the school bus because

 OPTIONS: 
- the delivery truck was going so slow.
 - the school bus was going so slow.
Output: ",the school bus was going so slow.,the school bus was going so slow.,True
12,Frank felt vindicated when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",0,"How does the sentence end?

Frank felt vindicated when his longtime rival Bill revealed that

 OPTIONS: 
- Frank was the winner of the competition.
 - Bill was the winner of the competition.
Output: ",Bill was the winner of the competition.,frank was the winner of the competition.,False
13,Frank felt crushed when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",1,"How does the sentence end?

Frank felt crushed when his longtime rival Bill revealed that

 OPTIONS: 
- Frank was the winner of the competition.
 - Bill was the winner of the competition.
Output: ",Bill was the winner of the competition.,bill was the winner of the competition.,True
14,The man couldn't lift his son because,he,was so weak.,"The man,The son",0,"How does the sentence end?

The man couldn't lift his son because

 OPTIONS: 
- The man was so weak.
 - The son was so weak.
Output: ",The son was so weak.,the man was so weak.,False
15,The man couldn't lift his son because,he,was so heavy.,"The man,The son",1,"How does the sentence end?

The man couldn't lift his son because

 OPTIONS: 
- The man was so heavy.
 - The son was so heavy.
Output: ",The son was so heavy.,the son was so heavy.,True
16,The large ball crashed right through the table because,it,was made of steel.,"The large ball,The table",0,"How does the sentence end?

The large ball crashed right through the table because

 OPTIONS: 
- The large ball was made of steel.
 - The table was made of steel.
Output: ",The large ball was made of steel.,the large ball was made of steel.,True
17,The large ball crashed right through the table because,it,was made of styrofoam.,"The large ball,The table",1,"How does the sentence end?

The large ball crashed right through the table because

 OPTIONS: 
- The large ball was made of styrofoam.
 - The table was made of styrofoam.
Output: ",The large ball was made of styrofoam.,the table was made of styrofoam.,False
18,John couldn't see the stage with Billy in front of him because,he,is so short.,"John,Billy",0,"How does the sentence end?

John couldn't see the stage with Billy in front of him because

 OPTIONS: 
- John is so short.
 - Billy is so short.
Output: ",John is so short.,john is so short.,True
19,John couldn't see the stage with Billy in front of him because,he,is so tall.,"John,Billy",1,"How does the sentence end?

John couldn't see the stage with Billy in front of him because

 OPTIONS: 
- John is so tall.
 - Billy is so tall.
Output: ",Billy is so tall.,billy is so tall.,True
20,Tom threw his schoolbag down to Ray after,he,reached the top of the stairs.,"Tom,Ray",0,"How does the sentence end?

Tom threw his schoolbag down to Ray after

 OPTIONS: 
- Tom reached the top of the stairs.
 - Ray reached the top of the stairs.
Output: ",Tom reached the top of the stairs.,tom reached the top of the stairs.,True
21,Tom threw his schoolbag down to Ray after,he,reached the bottom of the stairs.,"Tom,Ray",1,"How does the sentence end?

Tom threw his schoolbag down to Ray after

 OPTIONS: 
- Tom reached the bottom of the stairs.
 - Ray reached the bottom of the stairs.
Output: ",Tom reached the bottom of the stairs.,ray reached the bottom of the stairs.,False
22,"Although they ran at about the same speed, Sue beat Sally because",she,had such a good start.,"Sue,Sally",0,"How does the sentence end?

Although they ran at about the same speed, Sue beat Sally because

 OPTIONS: 
- Sue had such a good start.
 - Sally had such a good start.
Output: ",Sue had such a good start.,sue had such a good start.,True
23,"Although they ran at about the same speed, Sue beat Sally because",she,had such a bad start.,"Sue,Sally",1,"How does the sentence end?

Although they ran at about the same speed, Sue beat Sally because

 OPTIONS: 
- Sue had such a bad start.
 - Sally had such a bad start.
Output: ",Sally had such a bad start.,sally had such a bad start.,True
24,The sculpture rolled off the shelf because,it,wasn't anchored.,"The sculpture,The shelf",0,"How does the sentence end?

The sculpture rolled off the shelf because

 OPTIONS: 
- The sculpture wasn't anchored.
 - The shelf wasn't anchored.
Output: ",The shelf wasn't anchored.,the sculpture wasn't anchored.,False
25,The sculpture rolled off the shelf because,it,wasn't level.,"The sculpture,The shelf",1,"How does the sentence end?

The sculpture rolled off the shelf because

 OPTIONS: 
- The sculpture wasn't level.
 - The shelf wasn't level.
Output: ",The sculpture wasn't level.,the shelf wasn't level.,False
26,Sam's drawing was hung just above Tina's and,it,did look much better with another one below it.,"Sam's drawing,Tina's drawing",0,"How does the sentence end?

Sam's drawing was hung just above Tina's and

 OPTIONS: 
- Sam's drawing did look much better with another one below it.
 - Tina's drawing did look much better with another one below it.
Output: ",Sam's drawing did look much better with another one below it.,sam's drawing did look much better with another one below it.,True
27,Sam's drawing was hung just above Tina's and,it,did look much better with another one above it.,"Sam's drawing,Tina's drawing",1,"How does the sentence end?

Sam's drawing was hung just above Tina's and

 OPTIONS: 
- Sam's drawing did look much better with another one above it.
 - Tina's drawing did look much better with another one above it.
Output: ",Sam's drawing did look much better with another one above it.,tina's drawing did look much better with another one above it.,False
