left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

When Debbie splashed Tina, 

OPTIONS: 
-  Debbie got wet. 
-  Tina got wet.
Output: Tina got wet.
=======================================
How does the sentence end?

Aaron kissed Dan because 

OPTIONS: 
-  Aaron wanted to. 
-  Dan wanted to.
Output: Aaron wanted to.
=======================================
How does the sentence end?

England won the bid over Spain because 

OPTIONS: 
-  England prepared better. 
-  Spain prepared better.
Output: England prepared better.
=======================================
How does the sentence end?

Malachi's program would not run on the computer because 

OPTIONS: 
-  Malachis program was full of bugs. 
-  the computer was full of bugs.
Output: Malachis program was full of bugs.
=======================================
How does the sentence end?

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen feared violence.
 - The demonstrators feared violence.
Output: ",the city councilmen feared violence,the city councilmen feared violence,True,4
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

Bob Marley shot the sheriff, but 

OPTIONS: 
-  Bob Marley survived. 
-  the sheriff survived.
Output: the sheriff survived.
=======================================
How does the sentence end?

The chef made breakfast for the captain because 

OPTIONS: 
-  The chef was required to. 
-  the captain was required to.
Output: The chef was required to.
=======================================
How does the sentence end?

Burt installed Joey's software, and 

OPTIONS: 
-  Burt was appreciative. 
-  Joey was appreciative.
Output: Joey was appreciative.
=======================================
How does the sentence end?

The Axis forces lost the war to the Allied forces because 

OPTIONS: 
-  The Axis forces took advantage of their weakness. 
-  the Allied forces took advantage of their weakness.
Output: the Allied forces took advantage of their weakness.
=======================================
How does the sentence end?

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen advocated violence.
 - The demonstrators advocated violence.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,4
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

Jackie gave Beth a present because it was 

OPTIONS: 
-  Jackie birthday. 
-  Beth birthday.
Output: Beth birthday.
=======================================
How does the sentence end?

Burt installed Joey's software, and 

OPTIONS: 
-  Burt was appreciative. 
-  Joey was appreciative.
Output: Joey was appreciative.
=======================================
How does the sentence end?

Gold is more popular than black because 

OPTIONS: 
-  Gold does not sparkle. 
-  black does not sparkle.
Output: black does not sparkle.
=======================================
How does the sentence end?

My parents gave the neighbors tickets to Six Flags since 

OPTIONS: 
-  My parents needed them. 
-  the neighbors needed them.
Output: the neighbors needed them.
=======================================
How does the sentence end?

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too large.
 - the suitcase is too large.
Output: ",the trophy is too large,the trophy is too large,True,4
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

Gary envied Bill because 

OPTIONS: 
-  Gary was poor. 
-  Bill was poor.
Output: Gary was poor.
=======================================
How does the sentence end?

The construction workers hollered at the girls when 

OPTIONS: 
-  The construction workers saw them. 
-  the girls saw them.
Output: The construction workers saw them.
=======================================
How does the sentence end?

Michael asked Jacob to dance because 

OPTIONS: 
-  Michael felt sorry for him. 
-  Jacob felt sorry for him.
Output: Michael felt sorry for him.
=======================================
How does the sentence end?

John hit Carl and 

OPTIONS: 
-  John hit back. 
-  Carl hit back.
Output: John hit back.
=======================================
How does the sentence end?

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too small.
 - the suitcase is too small.
Output: ",the suitcase is too small,the suitcase is too small,True,4
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

When Debbie splashed Tina, 

OPTIONS: 
-  Debbie got in trouble. 
-  Tina got in trouble.
Output: Debbie got in trouble.
=======================================
How does the sentence end?

The storm delayed the flight as 

OPTIONS: 
-  The storm was very dangerous. 
-  the flight was very dangerous.
Output: The storm was very dangerous.
=======================================
How does the sentence end?

Shawn hit Joe but 

OPTIONS: 
-  Shawn did not scream. 
-  Joe did not scream.
Output: Joe did not scream.
=======================================
How does the sentence end?

The painting was at the museum because 

OPTIONS: 
-  The painting was on display. 
-  the museum was on display.
Output: The painting was on display.
=======================================
How does the sentence end?

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had recieved.
 - Susan had recieved.
Output: ",joan had recieved,joan had recieved,True,4
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Mr. Sanders gave James a promotion because 

OPTIONS: 
-  Mr Sanders appreciated his good work. 
-  James appreciated his good work.
Output: Mr Sanders appreciated his good work.
=======================================
How does the sentence end?

The striker scored on the goalie because 

OPTIONS: 
-  The striker was caught off guard. 
-  the goalie was caught off guard.
Output: the goalie was caught off guard.
=======================================
How does the sentence end?

Jesus appeared to Thomas in order to show that 

OPTIONS: 
-  Jesus had risen. 
-  Thomas had risen.
Output: Jesus had risen.
=======================================
How does the sentence end?

Pizza hut pizzas are tastier than Papa John pizzas because 

OPTIONS: 
-  Pizza give more ingredients and cheeses. 
-  Papa John give more ingredients and cheeses.
Output: Pizza give more ingredients and cheeses.
=======================================
How does the sentence end?

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had given.
 - Susan had given.
Output: ",susan had given,susan had given,True,4
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

The boy tried to address his friend, but 

OPTIONS: 
-  The boy could not speak. 
-  his friend could not speak.
Output: The boy could not speak.
=======================================
How does the sentence end?

Paul made fun of Henry since 

OPTIONS: 
-  Paul knew everyone else did. 
-  Henry knew everyone else did.
Output: Paul knew everyone else did.
=======================================
How does the sentence end?

The Secretary and the President met about 

OPTIONS: 
-  The Secretary being elected. 
-  the President being elected.
Output: the President being elected.
=======================================
How does the sentence end?

Bush beat Gore because 

OPTIONS: 
-  Bush rigged the election. 
-  Gore rigged the election.
Output: Bush rigged the election.
=======================================
How does the sentence end?

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't successful.
 - George wasn't successful.
Output: ",paul wasnt successful,paul wasnt successful,True,4
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

The bus driver yelled at a kid after 

OPTIONS: 
-  The bus driver drove her vehicle. 
-  a kid drove her vehicle.
Output: The bus driver drove her vehicle.
=======================================
How does the sentence end?

Sam cheated Sally but 

OPTIONS: 
-  Sally did not cry. 
-  Sam did not cry.
Output: Sally did not cry.
=======================================
How does the sentence end?

The junior football team likes the Dallas Cowboys because 

OPTIONS: 
-  The junior football team are an inspiration. 
-  the Dallas Cowboys are an inspiration.
Output: the Dallas Cowboys are an inspiration.
=======================================
How does the sentence end?

Taco needs hot sauce because 

OPTIONS: 
-  Taco improves the flavor. 
-  hot sauce improves the flavor.
Output: hot sauce improves the flavor.
=======================================
How does the sentence end?

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't available.
 - George wasn't available.
Output: ",george wasnt available,george wasnt available,True,4
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

Keith fired Blaine even though 

OPTIONS: 
-  Keith is diligent. 
-  Blaine is diligent.
Output: Blaine is diligent.
=======================================
How does the sentence end?

Medvedev will cede the presidency to Putin because 

OPTIONS: 
-  Medvedev is more popular. 
-  Putin is more popular.
Output: Putin is more popular.
=======================================
How does the sentence end?

Jack pushed Tim down the stairs because 

OPTIONS: 
-  Jack was mad. 
-  Tim was mad.
Output: Jack was mad.
=======================================
How does the sentence end?

Computers outsell laptops because 

OPTIONS: 
-  Computers are not worth the money. 
-  laptops are not worth the money.
Output: laptops are not worth the money.
=======================================
How does the sentence end?

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to repeat it.
 - the witness was reluctant to repeat it.
Output: ",the witness was reluctant to repeat it,the lawyer was reluctant to repeat it,False,4
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

The police officer shot the protester because 

OPTIONS: 
-  The police officer lost composure. 
-  the protester lost composure.
Output: The police officer lost composure.
=======================================
How does the sentence end?

The food in the refrigerator went bad because 

OPTIONS: 
-  The food was not plugged in. 
-  the refrigerator was not plugged in.
Output: the refrigerator was not plugged in.
=======================================
How does the sentence end?

A monkey ate a lizard and 

OPTIONS: 
-  A monkey screamed in pain. 
-  a lizard screamed in pain.
Output: a lizard screamed in pain.
=======================================
How does the sentence end?

The rock melted in the lava because 

OPTIONS: 
-  The rock was hot. 
-  the lava was hot.
Output: the lava was hot.
=======================================
How does the sentence end?

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to answer it.
 - the witness was reluctant to answer it.
Output: ",the witness was reluctant to answer,the witness was reluctant to answer it,False,4
