,left,pron,right,candidates,selected,predicted,correct_sent,correct,number of shots,shot,input_prompt
0,The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,the city councilmen feared violence,the city councilmen feared violence,True,3,3,
1,The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,the demonstrators advocated violence,the demonstrators advocated violence,True,3,3,
2,The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,the trophy is too large,the trophy is too large,True,3,3,
3,The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,the suitcase is too small,the suitcase is too small,True,3,3,
4,Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,joan had recieved,joan had recieved,True,3,3,
5,Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,susan had given,susan had given,True,3,3,
6,"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,paul wasnt successful,paul wasnt successful,True,3,3,
7,"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,george wasnt available,george wasnt available,True,3,3,
8,"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,the witness was reluctant to repeat it,the lawyer was reluctant to repeat it,False,3,3,
9,"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,the witness was reluctant to answer it,the witness was reluctant to answer it,True,3,3,
10,The delivery truck zoomed by the school bus because,it,was going so fast.,"the delivery truck,the school bus",0,the delivery truck was going so fast,the delivery truck was going so fast,True,3,3,
11,The delivery truck zoomed by the school bus because,it,was going so slow.,"the delivery truck,the school bus",1,the school bus was going so slow,the school bus was going so slow,True,3,3,
12,Frank felt vindicated when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",0,frank was the winner of the competition,frank was the winner of the competition,True,3,3,
13,Frank felt crushed when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",1,bill was the winner of the competition,bill was the winner of the competition,True,3,3,
14,The man couldn't lift his son because,he,was so weak.,"The man,The son",0,the man was so weak,the man was so weak,True,3,3,
15,The man couldn't lift his son because,he,was so heavy.,"The man,The son",1,the son was so heavy,the son was so heavy,True,3,3,
16,The large ball crashed right through the table because,it,was made of steel.,"The large ball,The table",0,the large ball was made of steel,the large ball was made of steel,True,3,3,
17,The large ball crashed right through the table because,it,was made of styrofoam.,"The large ball,The table",1,the large ball was made of styrofoam,the table was made of styrofoam,False,3,3,
18,John couldn't see the stage with Billy in front of him because,he,is so short.,"John,Billy",0,billy is so short,john is so short,False,3,3,
19,John couldn't see the stage with Billy in front of him because,he,is so tall.,"John,Billy",1,billy is so tall,billy is so tall,True,3,3,
20,Tom threw his schoolbag down to Ray after,he,reached the top of the stairs.,"Tom,Ray",0,tom reached the top of the stairs,tom reached the top of the stairs,True,3,3,
21,Tom threw his schoolbag down to Ray after,he,reached the bottom of the stairs.,"Tom,Ray",1,ray reached the bottom of the stairs,ray reached the bottom of the stairs,True,3,3,
22,"Although they ran at about the same speed, Sue beat Sally because",she,had such a good start.,"Sue,Sally",0,sue had such a good start,sue had such a good start,True,3,3,
23,"Although they ran at about the same speed, Sue beat Sally because",she,had such a bad start.,"Sue,Sally",1,sue had such a bad start,sally had such a bad start,False,3,3,
24,The sculpture rolled off the shelf because,it,wasn't anchored.,"The sculpture,The shelf",0,the sculpture wasnt anchored,the sculpture wasnt anchored,True,3,3,
25,The sculpture rolled off the shelf because,it,wasn't level.,"The sculpture,The shelf",1,the sculpture wasnt level,the shelf wasnt level,False,3,3,
26,Sam's drawing was hung just above Tina's and,it,did look much better with another one below it.,"Sam's drawing,Tina's drawing",0,sams drawing did look much better with another one below it,sams drawing did look much better with another one below it,True,3,3,
27,Sam's drawing was hung just above Tina's and,it,did look much better with another one above it.,"Sam's drawing,Tina's drawing",1,sams drawing did look much better with another one above it,tinas drawing did look much better with another one above it,False,3,3,
28,Anna did a lot better than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",0,anna had studied so hard,anna had studied so hard,True,3,3,
29,Anna did a lot worse than her good friend Lucy on the test because,she,had studied so hard.,"Anna,Lucy",1,anna had studied so hard,lucy had studied so hard,False,3,3,
30,The firemen arrived after the police because,they,were coming from so far away.,"The firemen,The police",0,the firemen were coming from so far away,the firemen were coming from so far away,True,3,3,
31,The firemen arrived before the police because,they,were coming from so far away.,"The firemen,The police",1,the firemen were coming from so far away,the police were coming from so far away,False,3,3,
32,Frank was upset with Tom because the toaster,he,had bought from him didn't work.,"Frank,Tom",0,frank had bought from him didnt work,frank had bought from him didnt work,True,3,3,
33,Frank was upset with Tom because the toaster,he,had sold him didn't work.,"Frank,Tom",1,tom had sold him didnt work,tom had sold him didnt work,True,3,3,
34,Jim yelled at Kevin because,he,was so upset.,"Jim,Kevin",0,jim was so upset,jim was so upset,True,3,3,
35,Jim comforted Kevin because,he,was so upset.,"Jim,Kevin",1,kevin was so upset,kevin was so upset,True,3,3,
36,"The sack of potatoes had been placed above the bag of flour, so",it,had to be moved first.,"The sack of potatoes,The bag of flour",0,the bag of flour had to be moved first,the sack of potatoes had to be moved first,False,3,3,
37,"The sack of potatoes had been placed below the bag of flour, so",it,had to be moved first.,"The sack of potatoes,The bag of flour",1,the bag of flour had to be moved first,the bag of flour had to be moved first,True,3,3,
38,Pete envies Martin although,he,is very successful.,"Pete,Martin",0,martin is very successful,pete is very successful,False,3,3,
39,Pete envies Martin because,he,is very successful.,"Pete,Martin",1,martin is very successful,martin is very successful,True,3,3,
40,"The older students were bullying the younger ones, so we punished",them,.,"The older students,The younger students",0,the older students,the older students,True,3,3,
41,"The older students were bullying the younger ones, so we rescued",them,.,"The older students,The younger students",1,the younger students,the younger students,True,3,3,
42,I poured water from the bottle into the cup until,it,was empty.,"the bottle,the cup",0,the cup was empty,the bottle was empty,False,3,3,
43,I poured water from the bottle into the cup until,it,was full.,"the bottle,the cup",1,the cup was full,the cup was full,True,3,3,
44,Susan knows all about Ann's personal problems because,she,is nosy.,"Susan,Ann",0,susan is nosy,susan is nosy,True,3,3,
45,Susan knows all about Ann's personal problems because,she,is indiscreet.,"Susan,Ann",1,susan is indiscreet,ann is indiscreet,False,3,3,
46,Sid explained his theory to Mark but,he,couldn't convince him.,"Sid,Mark",0,sid couldnt convince him,sid couldnt convince him,True,3,3,
47,Sid explained his theory to Mark but,he,couldn't understand him.,"Sid,Mark",1,mark couldnt understand him,mark couldnt understand him,True,3,3,
48,"Susan knew that Ann's son had been in a car accident, so",she,told her about it.,"Susan,Ann",0,susan told her about it,susan told her about it,True,3,3,
49,"Susan knew that Ann's son had been in a car accident, because",she,told her about it.,"Susan,Ann",1,ann told her about it,ann told her about it,True,3,3,
50,"Joe's uncle can still beat him at tennis, even though",he,is 30 years younger.,"Joe,Joe's uncle",0,joes uncle is 30 years younger,joe is 30 years younger,False,3,3,
51,"Joe's uncle can still beat him at tennis, even though",he,is 30 years older.,"Joe,Joe's uncle",1,joes uncle is 30 years older,joes uncle is 30 years older,True,3,3,
52,The painting in Mark's living room shows an oak tree.,It,is to the right of the bookcase.,"The painting,The oak tree",0,the painting is to the right of the bookcase,the painting is to the right of the bookcase,True,3,3,
53,The painting in Mark's living room shows an oak tree.,It,is to the right of a house.,"The painting,The oak tree",1,the oak tree is to the right of a house,the oak tree is to the right of a house,True,3,3,
54,There is a gap in the wall. You can see the garden through,it,.,"The gap,The wall",0,the gap,the gap,True,3,3,
55,There is a gap in the wall. You can see the garden behind,it,.,"The gap,The wall",1,the gap,the wall,False,3,3,
56,The drain is clogged with hair.,It,has to be cleaned.,"The drain,The hair",0,the drain has to be cleaned,the drain has to be cleaned,True,3,3,
57,The drain is clogged with hair.,It,has to be removed.,"The drain,The hair",1,the hair has to be removed,the hair has to be removed,True,3,3,
