left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

The school denied parents parking permits because

OPTIONS: 
- The school
- parents
Output: The school did not want the parking lots to be over crowded with cars.

How does the sentence end?

The school denied parents parking permits because

OPTIONS: 
- The school
- parents
Output: parents violated parking rules.

How does the sentence end?

The students protested against the new policies because

OPTIONS: 
- The students
- the new policies
Output: The students were angry.

How does the sentence end?

The citizens rebelled against the government because

OPTIONS: 
- The citizens
- the government
Output: The citizens were being repressed.

How does the sentence end?

The students protested against the new policies because

OPTIONS: 
- The students
- the new policies
Output: the new policies were too strict.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen feared violence.
- The demonstrators feared violence.
Thought: Use similar thought as before.
Output: ",the city councilmen feared violence the demonstrators feared violence,the city councilmen feared violence,False,5
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

The school denied parents parking permits because

OPTIONS: 
- The school
- parents
Output: parents violated parking rules.

How does the sentence end?

The school denied parents parking permits because

OPTIONS: 
- The school
- parents
Output: The school did not want the parking lots to be over crowded with cars.

How does the sentence end?

The students protested against the new policies because

OPTIONS: 
- The students
- the new policies
Output: The students were angry.

How does the sentence end?

The citizens rebelled against the government because

OPTIONS: 
- The citizens
- the government
Output: The citizens were being repressed.

How does the sentence end?

The citizens rebelled against the government because

OPTIONS: 
- The citizens
- the government
Output: the government were being mean.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen advocated violence.
- The demonstrators advocated violence.
Thought: Use similar thought as before.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,5
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

President Obama rewarded Sam with a medal for his valorous acts since

OPTIONS: 
- President Obama
- Sam
Output: President Obama wanted the world to know his contribution to the world.

How does the sentence end?

The government officials publicly apologized to the people because

OPTIONS: 
- The government officials
- the people
Output: The government officials were forced to.

How does the sentence end?

The company accepted the resolution because

OPTIONS: 
- The company
- the resolution
Output: The company was desperate.

How does the sentence end?

UPS provides much convenience to the customers with their drop off service since

OPTIONS: 
- UPS
- the customers
Output: UPS make the shipping of packages extremely easy.

How does the sentence end?

The boy scouts were able to raise more money for charity over the girl scouts since

OPTIONS: 
- The boy scouts
- the girl scouts
Output: the girl scouts were not able to raise funds as actively.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too large.
- the suitcase is too large.
Thought: Use similar thought as before.
Output: ",the trophy is too large,the trophy is too large,True,5
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

UPS provides much convenience to the customers with their drop off service since

OPTIONS: 
- UPS
- the customers
Output: UPS make the shipping of packages extremely easy.

How does the sentence end?

The government officials publicly apologized to the people because

OPTIONS: 
- The government officials
- the people
Output: The government officials were forced to.

How does the sentence end?

President Obama rewarded Sam with a medal for his valorous acts since

OPTIONS: 
- President Obama
- Sam
Output: President Obama wanted the world to know his contribution to the world.

How does the sentence end?

The company accepted the resolution because

OPTIONS: 
- The company
- the resolution
Output: The company was desperate.

How does the sentence end?

The boy scouts were able to raise more money for charity over the girl scouts since

OPTIONS: 
- The boy scouts
- the girl scouts
Output: the girl scouts were not able to raise funds as actively.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too small.
- the suitcase is too small.
Thought: Use similar thought as before.
Output: ",the suitcase is too small,the suitcase is too small,True,5
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

Mary cleaned Susan's room and

OPTIONS: 
- Mary
- Susan
Output: Susan was thankful.

How does the sentence end?

Customer Support fields the questions of their customers so

OPTIONS: 
- Customer Support
- their customers
Output: their customers could receive immediate assistance.

How does the sentence end?

Customer Support fields the questions of their customers so

OPTIONS: 
- Customer Support
- their customers
Output: Customer Support could provide immediate assistance.

How does the sentence end?

John thanked Bill because

OPTIONS: 
- John
- Bill
Output: John had needed help.

How does the sentence end?

The counselor gave the student advice because

OPTIONS: 
- The counselor
- the student
Output: The counselor feels obligated to help him.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had recieved.
- Susan had recieved.
Thought: Use similar thought as before.
Output: ",joan had recieved,joan had recieved,True,5
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Mary cleaned Susan's room and

OPTIONS: 
- Mary
- Susan
Output: Susan was thankful.

How does the sentence end?

The counselor gave the student advice because

OPTIONS: 
- The counselor
- the student
Output: the student is on the wrong track in life.

How does the sentence end?

Ann helped Kim with her cooking skills, because

OPTIONS: 
- Ann
- Kim
Output: Kim was unable to make rice.

How does the sentence end?

The counselor gave the student advice because

OPTIONS: 
- The counselor
- the student
Output: The counselor feels obligated to help him.

How does the sentence end?

Ann helped Kim with her cooking skills, because

OPTIONS: 
- Ann
- Kim
Output: Ann felt sorry for her.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had given.
- Susan had given.
Thought: Use similar thought as before.
Output: ",susan had given,susan had given,True,5
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

The boy tried to address his friend, but

OPTIONS: 
- The boy
- his friend
Output: his friend could not hear.

How does the sentence end?

The boy tried to address his friend, but

OPTIONS: 
- The boy
- his friend
Output: The boy could not speak.

How does the sentence end?

The NSA sent their agents in the field to retrieve intelligence, but

OPTIONS: 
- The NSA
- their agents
Output: their agents were not able to gather the intelligence for them.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

Pat tried to talk to Jill but

OPTIONS: 
- Pat
- Jill
Output: Jill did not seem to hear it.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't successful.
- George wasn't successful.
Thought: Use similar thought as before.
Output: ",paul wasnt successful,paul wasnt successful,True,5
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

The boy tried to address his friend, but

OPTIONS: 
- The boy
- his friend
Output: his friend could not hear.

How does the sentence end?

The boy tried to address his friend, but

OPTIONS: 
- The boy
- his friend
Output: The boy could not speak.

How does the sentence end?

Pat tried to talk to Jill but

OPTIONS: 
- Pat
- Jill
Output: Pat was ignored.

How does the sentence end?

The police called headquarters for help and

OPTIONS: 
- The police
- headquarters
Output: headquarters refused.

How does the sentence end?

The NSA sent their agents in the field to retrieve intelligence, but

OPTIONS: 
- The NSA
- their agents
Output: their agents were not able to gather the intelligence for them.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't available.
- George wasn't available.
Thought: Use similar thought as before.
Output: ",george wasnt available,george wasnt available,True,5
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

The man asked Mark the question again because

OPTIONS: 
- The man
- Mark
Output: Mark was being evasive.

How does the sentence end?

The man asked Mark the question again because

OPTIONS: 
- The man
- Mark
Output: The man was curious.

How does the sentence end?

John asked the scientist what

OPTIONS: 
- John
- the scientist
Output: the scientist was working on.

How does the sentence end?

John asked the scientist what

OPTIONS: 
- John
- the scientist
Output: John could do to help.

How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Output: Boyfriends want to be treated with respect as well.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to repeat it.
- the witness was reluctant to repeat it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to repeat it,the lawyer was reluctant to repeat it,False,5
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

The man asked Mark the question again because

OPTIONS: 
- The man
- Mark
Output: Mark was being evasive.

How does the sentence end?

The man asked Mark the question again because

OPTIONS: 
- The man
- Mark
Output: The man was curious.

How does the sentence end?

John asked the scientist what

OPTIONS: 
- John
- the scientist
Output: the scientist was working on.

How does the sentence end?

John asked the scientist what

OPTIONS: 
- John
- the scientist
Output: John could do to help.

How does the sentence end?

Doctor Igor was interrogated by Colonel Marshall, although

OPTIONS: 
- Doctor Igor
- Colonel Marshall
Output: Colonel Marshall did not have good interrogation skills.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to answer it.
- the witness was reluctant to answer it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to answer it,the witness was reluctant to answer it,True,5
